순번,상호명,소재지,객실수,연락처,데이터기준일자
호스텔업,뷰띠끄 헤르츠 호텔,제주특별자치도 제주시 중앙로 252(이도이동),31,064-805-9800,2019-09-30
호스텔업,호텔 나비스,제주특별자치도 제주시 하귀2리 2749-3,41,064-712-5201,2019-09-30
호스텔업,제주담 스파빌,제주특별자치도 제주시 한림로 162,20,064-799-2020,2019-09-30
호스텔업,호텔몽듀,제주특별자치도 제주시 서해안로 382 (용담삼동),20,064-712-8811,2019-09-30
호스텔업,정안호스텔,제주특별자치도 제주시 용문로 166,30,064-900-5095,2019-09-30
호스텔업,j바다호텔,제주특별자치도 제주시 서해안로 258(도두이동),23,064-744-5672,2019-09-30
호스텔업,솔트,제주특별자치도 제주시 애월읍 애월해안로 226,20,,2019-09-30
호스텔업,누가빌리지호스텔,제주특별자치도 서귀포시 산록남로 2704,36,,2019-09-30
호스텔업,제이하우스,제주특별자치도 서귀포시 중산간서로 241,21,,2019-09-30
호스텔업,비울채울,제주특별자치도 서귀포시 검은여로130번길 73,20,064-732-0388,2019-09-30
호스텔업,가산토방 호스텔,제주특별자치도 서귀포시 인정오름로86번길 3,28,,2019-09-30
호스텔업,오션트리,제주특별자치도 서귀포시 월드컵로 188,24,064-739-1239,2019-09-30
호스텔업,올레요리조트,제주특별자치도 서귀포시 이어도로 720,23,064-739-8558,2019-09-30
호스텔업,코델리아호스텔,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-16 ,22,,2019-09-30
호스텔업,The BB's JEJU,제주특별자치도 서귀포시 이어도로 760,20,,2019-09-30
호스텔업,해성파크텔,제주특별자치도 서귀포시 천제연로 158-4,30,064-738-5050,2019-09-30
호스텔업,펠리스타운,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,20,064-782-4003,2019-09-30
호스텔업,화이트캐슬,제주특별자치도 서귀포시 이어도로 1060,20,064-702-0797,2019-09-30
호스텔업,비스비제주 앤 팜빌리지,제주특별자치도 서귀포시 속골로 29-10,32,1600-9038,2019-09-30
호스텔업,오렌지호텔,제주특별자치도 서귀포시 태평로335번길 3,40,064-762-9393,2019-09-30
호스텔업,펠리체리조트,제주특별자치도 서귀포시 태평로 111,20,,2019-09-30
호스텔업,주식회사 포트에비뉴,제주특별자치도 서귀포시 대포동서로 63-19,20,064-738-3910,2019-09-30
호스텔업,돔베리조트,제주특별자치도 서귀포시 태평로92번길34,20,064-739-7499,2019-09-30
호스텔업,성산비치호텔,제주특별자치도 서귀포시 성산읍 성산등용로 13,28,064-784-1000,2019-09-30
호스텔업,천지연호텔,제주특별자치도 서귀포시 솔동산로 40,20,064-762-1002,2019-09-30
호스텔업,휴호스텔,제주특별자치도 서귀포시 구산봉로21번길 62,20,,2019-09-30
호스텔업,라오체호스텔,제주특별자치도 서귀포시 선반로65번길 69,21,064-738-7575,2019-09-30
호스텔업,제주아이브리조트,제주특별자치도 서귀포시 산록남로 1966-34,63,064-739-8899,2019-09-30
호스텔업,뜨레피아,제주특별자치도 서귀포시 월평하원로 111,21,064-738-5848,2019-09-30
호스텔업,블루펄리조트,제주특별자치도 서귀포시 태평로 92번길 35,20,064-739-4002,2019-09-30
호스텔업,더베이리조트,제주특별자치도 서귀포시 문필로35번길 46,21,064-732-8118,2019-09-30
호스텔업,프라이빗리조트,제주특별자치도 서귀포시 태평로 130,21,,2019-09-30
호스텔업,제주원호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-33,20,,2019-09-30
호스텔업,아이리스호스텔,제주특별자치도 서귀포시 솔동산로 16-1,20,064-763-5400,2019-09-30
호스텔업,돌과 바람 리조트,제주특별자치도 서귀포시 하신상로 166,20,064-732-3210,2019-09-30
호스텔업,THE SERI HOSTEL,제주특별자치도 서귀포시 법환상로2번길 97-17,30,,2019-09-30
호스텔업,돈내코힐 리조트,제주특별자치도 서귀포시 돈내코로 180,20,064-762-8400,2019-09-30
호스텔업,제주 휴리조트1,제주특별자치도 서귀포시 성산읍 난고로 228,20,,2019-09-30
호스텔업,제주 휴리조트2,제주특별자치도 서귀포시 성산읍 난고로 230,20,,2019-09-30
호스텔업,제이앤클로이,제주특별자치도 서귀포시 대정읍 무릉중앙로 203,20,,2019-09-30
호스텔업,성산호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-35,20,,2019-09-30
호스텔업,에띠에호스텔,제주특별자치도 서귀포시 이어도로 738,20,064-739-1700,2019-09-30
호스텔업,제주세인트하우스,제주특별자치도 서귀포시 논짓물로 28,22,064-738-5584,2019-09-30
호스텔업,불란지호스텔,제주특별자치도 서귀포시 대정읍 하모중앙로 46-6,20,064-794-2552,2019-09-30
호스텔업,중문비치호텔,제주특별자치도 서귀포시 색달중앙로 19,25,064-763-2299,2019-09-30
호스텔업,더스테이,제주특별자치도 서귀포시 신서로 48번길 52-7,20,,2019-09-30
호스텔업,소금막호스텔,제주특별자치도 서귀포시 쇠소깍로 151-14,20,,2019-09-30
호스텔업,오라호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-37,20,,2019-09-30
호스텔업,제주베네치아호텔,제주특별자치도 서귀포시 중앙로 23-2,27,,2019-09-30
호스텔업,오션힐스테이,제주특별자치도 서귀포시 안덕면 사계북로 208,20,064-792-0102,2019-09-30
호스텔업,마린포트리조트,제주특별자치도 서귀포시 이어도로 744,20,064-738-2277,2019-09-30
호스텔업,파밀리아,제주특별자치도 서귀포시 대포동서로 63-20,28,064-738-2599,2019-09-30
호스텔업,호텔 엠씨씨,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 29,21,,2019-09-30
호스텔업,제이힐호텔,제주특별자치도 서귀포시 천제연로188번길 11,35,064-805-7600,2019-09-30
호스텔업,패밀리아펜션,제주특별자치도 서귀포시 표선면 번영로 3340,20,064-787-9009,2019-09-30
호스텔업,휴마루호스텔,제주특별자치도 서귀포시 중산간동로8183번길 16,20,064-762-1111,2019-09-30
호스텔업,바다해호텔,제주특별자치도 서귀포시 천지연로 3-1,20,064-762-5300,2019-09-30
호스텔업,보우힐펜션,제주특별자치도 서귀포시 대포연대로 50,24,064-739-9075,2019-09-30
호스텔업,제주M리조트,제주특별자치도 서귀포시 중산간서로157번길 28-6,20,1577-7931,2019-09-30
호스텔업,펜션연리,제주특별자치도 서귀포시 논짓물로 50,21,064-739-2564,2019-09-30
호스텔업,팜밸리리조트,제주특별자치도 서귀포시 중산간서로 193,20,064-738-7705,2019-09-30
호스텔업,백패커스홈,제주특별자치도 서귀포시 중정로 24-7,29,064-763-4000,2019-09-30
호스텔업,모멘토하우스,제주특별자치도 서귀포시 태평로439번길 21,21,,2019-09-30
호스텔업,제주 나인 부띠끄호텔,제주특별자치도 서귀포시 솔동산로 10번길 23,21,064-762-0045,2019-09-30
호스텔업,렉스호스텔,제주특별자치도 서귀포시 중앙로 42번길 42-1,20,,2019-09-30
호스텔업,아인스호스텔,제주특별자치도 서귀포시 태평로 432,45,064-763-9911,2019-09-30
호스텔업,미도호스텔,제주특별자치도 서귀포시 동문동로 13-1,20,,2019-09-30
호스텔업,탐라호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-31,20,,2019-09-30
호스텔업,제주 나르샤펜션,제주특별자치도 서귀포시 안덕면 사계북로 52,20,,2019-09-30
호스텔업,중문씨티호텔,제주특별자치도 서귀포시 중문상로 27,40,064-805-7600,2019-09-30
호스텔업,써니호텔,제주특별자치도 서귀포시 대정읍 신영로 87-1,28,,2019-09-30
호스텔업,퍼블리코,제주특별자치도 서귀포시 신서로48번길 20-9,23,064-721-8282,2019-09-30
호스텔업,모던플레이스,제주특별자치도 서귀포시 상예로 262,23,064-738-1024,2019-09-30
호스텔업,호텔펠리시아,제주특별자치도 서귀포시 일주동로 9123,31,064-739-0400,2019-09-30
호스텔업,중문썬라이즈 호스텔,제주특별자치도 서귀포시 중문관광로 310,29,,2019-09-30
호스텔업,J두빛나래리조트,제주특별자치도 서귀포시 안덕면 사계북로 109,20,064-792-0045,2019-09-30
호스텔업,제이라움호스텔,제주특별자치도 서귀포시 대정읍 노을해안로 420,21,,2019-09-30
호스텔업,브릭 216,제주특별자치도 서귀포시 이어도로 216,20,064-766-0216,2019-09-30
호스텔업,호텔라벤더 제주,제주특별자치도 서귀포시 중정로 1,22,064-762-7900,2019-09-30
호스텔업,호텔연,제주특별자치도 서귀포시 솔동산로22번길 17-2,27,064-763-8855,2019-09-30
호스텔업,스와브호텔,제주특별자치도 서귀포시 서홍로 102,25,064-733-2272,2019-09-30
호스텔업,휴안스테이호텔,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9,22,064-786-1500,2019-09-30
호스텔업,동원호스텔,제주특별자치도 서귀포시 솔동산로10번길 45,20,,2019-09-30
호스텔업,K두빛나래리조트,제주특별자치도 서귀포시 안덕면 사계북로 107,20,,2019-09-30
호스텔업,스파호텔코자,제주특별자치도 서귀포시 대정읍 최남단해안로 44,28,,2019-09-30
호스텔업,더블루제주,제주특별자치도 서귀포시 칠십리로 479,20,064-733-6101,2019-09-30
호스텔업,레지나펜션,제주특별자치도 서귀포시 이어도로 789,27,064-730-0800,2019-09-30
호스텔업,해리안호텔,제주특별자치도 서귀포시 천제연로 153,23,064-739-3030,2019-09-30
호스텔업,풍경호스텔,제주특별자치도 서귀포시 남성로 117,25,,2019-09-30
호스텔업,천지연크리스탈호텔,제주특별자치도 서귀포시 천지연로 39,30,064-732-1811,2019-09-30
호스텔업,T아일랜드호스텔,제주특별자치도 서귀포시 막숙포로 100,20,,2019-09-30
호스텔업,칠십리호텔,제주특별자치도 서귀포시 태평로353번길 22-3,27,064-732-7707,2019-09-30
호스텔업,중문스테이,제주특별자치도 서귀포시 중문관광로 288,27,064-738-1956,2019-09-30
호스텔업,까사 데 비발디,제주특별자치도 서귀포시 안덕면 향교로 214,20,064-794-8970,2019-09-30
호스텔업,제주브릭스,제주특별자치도 서귀포시 태평로 121,23,064-739-1901,2019-09-30
호스텔업,돈내코 리조트,제주특별자치도 서귀포시 돈내코로 178,21,064-762-8400,2019-09-30
호스텔업,호텔 버지니아,제주특별자치도 서귀포시 중정로61번길 31,58,064-767-5555,2019-09-30
호스텔업,피노호텔,제주특별자치도 서귀포시 천지연로29번길 5,30,064-763-3005,2019-09-30
호스텔업,서현호스텔,제주특별자치도 서귀포시 천지로 15,26,,2019-09-30
호스텔업,아띠랑스,제주특별자치도 서귀포시 성산읍 해맞이해안로 2614,20,,2019-09-30
호스텔업,마루호스텔,제주특별자치도 서귀포시 안덕면 평화로 486,20,064-794-5665,2019-09-30
호스텔업,이아호텔,제주특별자치도 서귀포시 중정로36,42,064-732-6609,2019-09-30
호스텔업,한옥호텔 한라궁,제주특별자치도 서귀포시 칠십리로 243,21,064-732-7900,2019-09-30
호스텔업,런호텔,제주특별자치도 서귀포시 태평로431번길 20,32,064-766-5100,2019-09-30
호스텔업,HOTEL 이디,제주특별자치도 서귀포시 남원읍 태위로690-3,20,,2019-09-30
호스텔업,태흥리조트,제주특별자치도 서귀포시 남원읍 태위로984-7,24,,2019-09-30
호스텔업,올레휴,제주특별자치도 서귀포시 천지로 13,20,064-762-9102,2019-09-30
호스텔업,부띠끄스테이 스놉,제주특별자치도 서귀포시 예래해안로 17,20,064-738-3555,2019-09-30
호스텔업,취다선리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2688,25,064-735-1600,2019-09-30
호스텔업,호텔 서귀피안,제주특별자치도 서귀포시 보목로64번길 178,30,064-735-1453,2019-09-30
소형호텔업,모슬포1호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11,24,064-792-4723,2019-09-30
소형호텔업,모슬포2호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13,24,064-792-4723,2019-09-30
소형호텔업,모슬포3호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,24,064-792-4723,2019-09-30
소형호텔업,HOTEL 52,제주특별자치도 서귀포시 대정읍 신영로36번길 35,20,064-794-1831,2019-09-30
휴양 콘도미니엄업,일성제주콘도미니엄,제주특별자치도 제주시 한림읍 한림로 239,50,064-796-8400,2019-09-30
휴양 콘도미니엄업,이랜드파크 켄싱턴리조트 제주한림점,제주특별자치도 제주시 한림읍 한림해안로 530,50,064-796-9600,2019-09-30
휴양 콘도미니엄업,메가리조트제주,제주특별자치도 제주시 한경면 판포1길 6,50,064-772-9999,2019-09-30
휴양 콘도미니엄업,사조그랜드리조트,제주특별자치도 제주시 조천읍일주동로 1616-7,50,064-782-8600,2019-09-30
휴양 콘도미니엄업,제주토비스콘도①,제주특별자치도 제주시 애월읍 애월로1길 8,50,064-799-4400,2019-09-30
휴양 콘도미니엄업,제주금강산콘도,제주특별자치도 제주시 한림읍 협재로 210-18,54,064-795-7800,2019-09-30
휴양 콘도미니엄업,(주)토비스레저산업 제주토비스콘도미니엄,제주특별자치도 제주시 애월읍 애월로1길 8,68,064-799-9905,2019-09-30
휴양 콘도미니엄업,동양콘도(리조트),제주특별자치도 제주시 애월읍 애월해안로 708,82,064-713-5100,2019-09-30
휴양 콘도미니엄업,한화리조트 제주,제주특별자치도 제주시 명림로 575-107 ,397,064-725-9000,2019-09-30
휴양 콘도미니엄업,대명리조트 제주,제주특별자치도 제주시 조천읍 신북로 577,242,064-780-5000,2019-09-30
휴양 콘도미니엄업,(주)제주힐 리조트,제주특별자치도 제주시 한림읍 명월성로 394,51,064-796-2400,2019-09-30
휴양 콘도미니엄업,라온골프클럽 콘도미니엄,제주특별자치도 제주시 한경면 저지리 산19-1,80,064-795-1000,2019-09-30
휴양 콘도미니엄업,엘스위트콘도,제주특별자치도 제주시 애월읍 어음리 산19,60,064-798-7108,2019-09-30
휴양 콘도미니엄업,제주발리리조트,제주특별자치도 제주시 한림읍 일주서로 5083-5,93,064-796-8231,2019-09-30
휴양 콘도미니엄업,헤브론힐리조트,제주특별자치도 제주시 애월읍 고성남서길 76,55,064-799-9774,2019-09-30
휴양 콘도미니엄업,타미우스빌리지,제주특별자치도 제주시 애월읍 봉성리 산5번지,133,064-793-0707,2019-09-30
휴양 콘도미니엄업,(주)블랙스톤리조트,제주특별자치도 제주시 한림읍 금악 산67-1,50,064-795-2126,2019-09-30
휴양 콘도미니엄업,일성비치콘도미니엄,제주특별자치도 제주시 한림읍 한림로 127,178,064-796-8400,2019-09-30
휴양 콘도미니엄업,에버리스 골프 리조트,제주특별자치도 제주시 애월읍 어음 산35,50,064-795-5000,2019-09-30
휴양 콘도미니엄업,푸른콘도,제주특별자치도 제주시 한림읍 귀덕6길 146,50,064-796-0657,2019-09-30
휴양 콘도미니엄업,라헨느리조트㈜,제주특별자치도 제주시 명림로 384 ,51,064-754-9000,2019-09-30
휴양 콘도미니엄업,세인트포 휴양콘도미니엄,제주특별자치도 제주시 구좌읍 선유로 445-46,52,064-786-3800,2019-09-30
휴양 콘도미니엄업,크라운컨트리클럽 골프 빌리지,제주특별자치도 제주시 조천읍 북선로 125,25,064-784-4811,2019-09-30
휴양 콘도미니엄업,한라산 콘도미니엄,제주특별자치도 제주시 선돌목동길 56-46 ,50,064-723-1366,2019-09-30
휴양 콘도미니엄업,아덴힐리조트&골프클럽,제주특별자치도 제주시 한림읍 화전길 82,414,064-730-7023,2019-09-30
휴양 콘도미니엄업,라온프라이빗타운,제주특별자치도 제주시 한림읍 금능남로 127,934,064-795-3001,2019-09-30
휴양 콘도미니엄업,대명리조트 제주 신관동 휴양콘도미니엄,제주특별자치도 제주시 조천읍 신북로 577,156,064-780-5040,2019-09-30
휴양 콘도미니엄업,㈜한국폴로컨트리클럽휴양콘도미니엄,제주특별자치도 제주시 구좌읍 월행남길 322-30,33,064-784-9020,2019-09-30
휴양 콘도미니엄업,캠퍼트리호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100,151,064-795-8888,2019-09-30
휴양 콘도미니엄업,㈜이랜드파크 한국콘도 제주중문,제주특별자치도 서귀포시 중문관광로72번길 29-29,216,064-738-9101,2019-09-30
휴양 콘도미니엄업,켄싱턴리조트 서귀포점,제주특별자치도 서귀포시 이어도로 684,246,064-739-9001,2019-09-30
휴양 콘도미니엄업,씨제이대한통운㈜ 나인브릿지콘도미니엄,제주특별자치도 서귀포시 안덕면 광평로 34-156,100,064-793-9000,2019-09-30
휴양 콘도미니엄업,(주)레이크힐스리조트 제주,제주특별자치도 서귀포시 존제로 24,50,064-738-8711,2019-09-30
휴양 콘도미니엄업,금호리조트(주) 제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,326,064-766-8000,2019-09-30
휴양 콘도미니엄업,대명 샤인빌리조트,제주특별자치도 서귀포시 표선면 일주동로 6347-17,310,1588-4888,2019-09-30
휴양 콘도미니엄업,해비치리조트,제주특별자치도 서귀포시 표선면 민속해안로 537,215,064-780-8000,2019-09-30
휴양 콘도미니엄업,(주)캐슬렉스제주 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 평화로 1241,83,064-793-6600,2019-09-30
휴양 콘도미니엄업,대명 샤인빌리조트 2차,제주특별자치도 서귀포시 표선면 일주동로 6347-17,104,1588-4888,2019-09-30
휴양 콘도미니엄업,사이프러스 골프&리조트 휴양콘도미니엄,제주특별자치도 서귀포시 표선면 번영로 2300,72,064-786-2411,2019-09-30
휴양 콘도미니엄업,휘닉스 제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,350,064-731-7000,2019-09-30
휴양 콘도미니엄업,신성리조트,제주특별자치도 서귀포시 이어도로 989 ,62,064-739-0114,2019-09-30
휴양 콘도미니엄업,폴에이리조트 제주,제주특별자치도 서귀포시 월드컵로45번길 40 ,130,064-739-3001,2019-09-30
휴양 콘도미니엄업,(주)호텔롯데 롯데리조트제주,제주특별자치도 서귀포시 색달중앙로252번길 124,73,064-731-9111,2019-09-30
휴양 콘도미니엄업,스프링데일 골프&리조트,제주특별자치도 서귀포시 남원읍 서성로 459-1,90,064-800-8000,2019-09-30
휴양 콘도미니엄업,베이힐 풀 앤 빌라,제주특별자치도 서귀포시 예래로 424,30,064-801-9000,2019-09-30
휴양 콘도미니엄업,제주녹지리조트1,제주특별자치도 서귀포시 동홍동 2045,188,064-733-8866,2019-09-30
휴양 콘도미니엄업,우리들리조트 아트텔,제주특별자치도 서귀포시 산록남로 2917 ,25,064-766-7712,2019-09-30
휴양 콘도미니엄업,루체빌리조트,제주특별자치도 서귀포시 안덕면 산록남로 786,68,064-805-0114,2019-09-30
휴양 콘도미니엄업,제주녹지리조트2,제주특별자치도 서귀포시 동홍동 2051,212,064-733-8866,2019-09-30
휴양 콘도미니엄업,빅토르힐 리조트,제주특별자치도 서귀포시 516로277번길 45,31,064-780-6300,2019-09-30
휴양 콘도미니엄업,오션스타 휴양콘도미니엄,제주특별자치도 서귀포시 성산읍 섭지코지로 169,330,064-783-1888,2019-09-30
휴양 콘도미니엄업,디 아넥스 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 산록남로 762번길 71,43,064-792-5200,2019-09-30
휴양 콘도미니엄업,제주부영리조트,제주특별자치도 서귀포시 중문관광로 216,187,064-731-5500,2019-09-30
휴양 콘도미니엄업,테디벨리리조트 휴양콘도미니엄,제주특별자치도 서귀포시 안덕면 서광동로34번길 204,190,064-773-7800,2019-09-30
휴양 콘도미니엄업,백통신원리조트,제주특별자치도 서귀포시 남원읍 서성로 427,116,064-766-6888,2019-09-30
휴양 콘도미니엄업,덴앤델리조트,제주특별자치도 서귀포시 태평로156 ,78,070-4523-8000,2019-09-30
휴양 콘도미니엄업,중문훼미리 휴양콘도미니엄,제주특별자치도 서귀포시 소보리당로164번길 83,102,064-738-7871,2019-09-30
휴양 콘도미니엄업,제주신화빌라스,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,721,1670-8800,2019-09-30
휴양 콘도미니엄업,더큐브리조트제주,제주특별자치도 서귀포시 토평동 산30-13 ,255,064-717-6642,2019-09-30
휴양 콘도미니엄업,ES제주리조트,제주특별자치도 서귀포시 1100로 501,153,070-4548-0285,2019-09-30
휴양 콘도미니엄업,씨사이드아덴,제주특별자치도 서귀포시 중문관광로 124,190,064-738-9636,2019-09-30
